City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,airai,-8.9266,125.4092,295.4,73,20,1.08,TL,1681442249
1,coruripe,-10.1256,-36.1756,297.13,75,81,2.31,BR,1681442708
2,cayenne,4.9333,-52.3333,297.17,94,75,1.03,GF,1681442082
3,victoria,22.2855,114.1577,300.18,82,100,4.47,HK,1681442187
4,chuy,-33.6971,-53.4616,285.56,71,4,3.11,UY,1681442254
5,butaritari,3.0707,172.7902,300.57,78,63,4.48,KI,1681442240
6,hermanus,-34.4187,19.2345,288.65,70,44,4.53,ZA,1681442250
7,klaksvik,62.2266,-6.589,279.66,90,100,5.45,FO,1681442239
8,orbe,46.725,6.5307,278.35,82,88,0.41,CH,1681442837
9,sao filipe,14.8961,-24.4956,296.15,80,55,0.16,CV,1681442241
10,kavieng,-2.5744,150.7967,301.72,78,45,7.22,PG,1681442388
11,avarua,-21.2078,-159.775,300.18,61,20,3.09,CK,1681442248
12,upernavik,72.7868,-56.1549,261.84,93,100,2.39,GL,1681442280
13,port hedland,-20.3167,118.5667,306.18,46,40,7.2,AU,1681442240
14,bredasdorp,-34.5322,20.0403,286.53,67,47,3.32,ZA,1681441971
15,hilo,19.7297,-155.09,298.0,73,0,2.06,US,1681442841
16,mataura,-46.1927,168.8643,290.82,59,0,3.54,NZ,1681442004
17,rikitea,-23.1203,-134.9692,296.45,86,100,11.08,PF,1681442842
18,togitsu,32.8333,129.85,289.14,77,75,6.17,JP,1681442842
19,new norfolk,-42.7826,147.0587,289.22,44,0,2.22,AU,1681442247
20,vila franca do campo,37.7167,-25.4333,289.38,91,75,3.38,PT,1681442251
21,albany,42.6001,-73.9662,293.34,62,7,2.04,US,1681442843
22,punta arenas,-53.15,-70.9167,274.21,93,0,3.09,CL,1681442844
23,dikson,73.5069,80.5464,250.07,100,100,3.61,RU,1681442845
24,porbandar,21.6422,69.6093,300.43,64,0,5.03,IN,1681442846
25,geraldton,-28.7667,114.6,291.38,55,75,11.83,AU,1681442253
26,nikolskoye,59.7035,30.7861,274.09,81,97,4.16,RU,1681442847
27,yar-sale,66.8333,70.8333,251.99,82,3,3.5,RU,1681442277
28,kodiak,57.79,-152.4072,274.88,87,100,2.57,US,1681442032
29,sydney,-33.8679,151.2073,295.8,82,75,7.72,AU,1681442462
30,lebu,-37.6167,-73.65,286.08,95,90,0.2,CL,1681442849
31,tuktoyaktuk,69.4541,-133.0374,253.15,77,20,2.06,CA,1681442850
32,ushuaia,-54.8,-68.3,274.96,87,0,3.6,AR,1681442850
33,provideniya,64.3833,-173.3,263.35,48,0,3.13,RU,1681442851
34,busselton,-33.65,115.3333,290.28,38,62,9.45,AU,1681442851
35,hobart,-42.8794,147.3294,289.41,69,75,2.57,AU,1681442569
36,san cristobal,7.7669,-72.225,296.25,75,100,0.59,VE,1681442346
37,lasa,46.6166,10.7002,276.5,94,100,3.56,IT,1681442276
38,fereydun kenar,36.6864,52.5225,287.64,80,0,3.99,IR,1681442854
39,lorengau,-2.0226,147.2712,302.66,73,21,6.93,PG,1681442466
40,chokurdakh,70.6333,147.9167,263.0,85,98,3.42,RU,1681442286
41,kahului,20.8947,-156.47,301.16,62,20,6.17,US,1681442046
42,te anau,-45.4167,167.7167,289.56,61,8,0.92,NZ,1681442259
43,puerto ayora,-0.7393,-90.3518,300.68,91,99,4.47,EC,1681442856
44,atuona,-9.8,-139.0333,299.89,69,88,1.65,PF,1681442856
45,fairbanks,64.8378,-147.7164,270.71,55,40,5.14,US,1681442297
46,port lincoln,-34.7333,135.8667,296.72,42,100,7.67,AU,1681442857
47,beringovskiy,63.05,179.3167,260.64,76,98,4.58,RU,1681442857
48,port alfred,-33.5906,26.891,290.17,69,1,11.11,ZA,1681442295
49,manacapuru,-3.2997,-60.6206,298.03,91,34,1.43,BR,1681442075
50,sambava,-14.2667,50.1667,296.27,91,11,1.77,MG,1681442042
51,kapaa,22.0752,-159.319,300.14,79,100,9.26,US,1681442859
52,high level,58.5169,-117.136,280.21,42,20,1.54,CA,1681442860
53,carnarvon,-24.8667,113.6333,294.25,53,87,12.53,AU,1681442860
54,faanui,-16.4833,-151.75,300.63,70,3,2.71,PF,1681442268
55,akyab,20.15,92.9,302.68,61,77,1.07,MM,1681442861
56,andenes,69.3143,16.1194,276.44,75,0,6.17,NO,1681442862
57,lavrentiya,65.5833,-171.0,258.96,77,10,4.1,RU,1681442309
58,corrales,35.2378,-106.6067,293.53,18,100,3.13,US,1681442862
59,port hardy,50.6996,-127.4199,279.25,93,75,3.6,CA,1681442126
60,sao gabriel da cachoeira,-0.1303,-67.0892,296.27,96,96,0.34,BR,1681442281
61,norman wells,65.282,-126.8329,263.17,85,100,4.63,CA,1681442282
62,sarkikaraagac,38.0794,31.3664,278.18,72,0,1.08,TR,1681442864
63,petropavlovsk-kamchatskiy,53.0452,158.6483,276.48,75,75,3.0,RU,1681442612
64,hauterive,46.0901,3.4459,280.57,92,98,1.67,FR,1681442865
65,perevolotskiy,51.8763,54.1938,283.4,78,100,10.7,RU,1681442806
66,jamestown,42.097,-79.2353,290.95,59,0,2.57,US,1681442866
67,vaini,-21.2,-175.2,303.24,70,20,6.17,TO,1681442866
68,merke,42.8728,73.1786,294.37,41,97,2.69,KZ,1681442867
69,zhanaozen,43.3,52.8,284.22,77,84,6.71,KZ,1681442868
70,onalaska,43.8844,-91.2351,296.07,36,0,4.63,US,1681442868
71,georgetown,5.4112,100.3354,306.11,70,20,3.6,MY,1681442611
72,mar del plata,-38.0023,-57.5575,285.34,60,75,1.54,AR,1681442869
73,ostrovnoy,68.0531,39.5131,264.98,80,14,9.61,RU,1681442870
74,whitehorse,60.7161,-135.0538,275.58,55,75,2.57,CA,1681442870
75,nisia floresta,-6.0911,-35.2086,298.36,87,82,2.72,BR,1681442871
76,barrow,71.2906,-156.7887,256.16,71,0,4.63,US,1681442871
77,baglung,28.2719,83.5898,301.15,18,79,0.56,NP,1681442872
78,east london,-33.0153,27.9116,288.67,67,0,3.09,ZA,1681442661
79,bandarbeyla,9.4942,50.8122,301.16,77,40,3.34,SO,1681442313
